candidate_id,rank,score,reasoning
CAND_0069905,1,1.039584,"Applied ML Engineer with 6.6 years of experience in Bhubaneswar, Odisha; profile-listed technical strengths include Sentence Transformers, LoRA, Weaviate."
CAND_0015528,35,0.813872,"Applied ML Engineer with 7.4 years of experience in Coimbatore, Tamil Nadu; profile-listed technical strengths include Information Retrieval, FAISS, LangChain."
CAND_0013393,36,0.805163,"ML Engineer with 5.3 years of experience in Bangalore, Karnataka; profile-listed technical strengths include Pinecone, Sentence Transformers, BentoML."
CAND_0037160,37,0.791125,"Data Scientist with 6.0 years of experience in Mumbai, Maharashtra; profile-listed technical strengths include Weaviate, Hugging Face Transformers, Embeddings."
CAND_0099581,38,0.784033,"AI Specialist with 6.4 years of experience in Delhi, Delhi; profile-listed technical strengths include Pinecone, Diffusion Models, Information Retrieval."
CAND_0073007,39,0.782204,"AI Specialist with 5.8 years of experience in Bangalore, Karnataka; profile-listed technical strengths include Embeddings, MLflow, Statistical Modeling."
CAND_0010149,40,0.780771,"ML Engineer with 6.9 years of experience in Bangalore, Karnataka; profile-listed technical strengths include Milvus, Vector Search, Elasticsearch."
CAND_0005509,41,0.780139,"Data Scientist with 6.0 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include Qdrant, Python, dbt."
CAND_0065786,42,0.778888,"AI Specialist with 4.9 years of experience in Indore, Madhya Pradesh; profile-listed technical strengths include Pinecone, Kubeflow, BentoML."
CAND_0025882,43,0.778618,"Senior Software Engineer (ML) with 5.6 years of experience in Chennai, Tamil Nadu; profile-listed technical strengths include Milvus, LoRA, FAISS."
CAND_0048558,44,0.767463,"Data Scientist with 6.7 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include OpenSearch, Qdrant, Elasticsearch."
CAND_0093193,45,0.75919,"Senior Machine Learning Engineer with 7.9 years of experience in Bangalore, Karnataka; profile-listed technical strengths include OpenSearch, Search & Discovery, Vector Representations."
CAND_0092255,46,0.758869,"ML Engineer with 5.2 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include MLOps, Vector Search, Weaviate."
CAND_0024147,47,0.755871,"ML Engineer with 5.9 years of experience in Jaipur, Rajasthan; profile-listed technical strengths include Qdrant, Recommendation Systems, OpenSearch."
CAND_0033987,48,0.744695,"ML Engineer with 6.8 years of experience in Delhi, Delhi; profile-listed technical strengths include Statistical Modeling, Recommendation Systems, Fine-tuning LLMs."
CAND_0083852,49,0.744231,"Data Scientist with 6.0 years of experience in Ahmedabad, Gujarat; profile-listed technical strengths include Pinecone, Kubeflow, Sentence Transformers."
CAND_0060315,50,0.74403,"Senior Software Engineer (ML) with 5.4 years of experience in Bangalore, Karnataka; profile-listed technical strengths include QLoRA, Fine-tuning LLMs, Kubeflow."
CAND_0068932,51,0.742154,"ML Engineer with 5.2 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include OpenSearch, Diffusion Models, MLOps."
CAND_0044262,52,0.739567,"Data Scientist with 6.9 years of experience in Trivandrum, Kerala; profile-listed technical strengths include LlamaIndex, OpenSearch, Weaviate."
CAND_0081321,53,0.73519,"Senior Software Engineer (ML) with 5.3 years of experience in Coimbatore, Tamil Nadu; profile-listed technical strengths include MLflow, Weaviate, Python."
CAND_0004402,54,0.735175,"AI Research Engineer with 6.0 years of experience in Delhi, Delhi; profile-listed technical strengths include BentoML, OpenSearch, Fine-tuning LLMs."
CAND_0058412,55,0.734484,"Senior Software Engineer (ML) with 6.6 years of experience in Indore, Madhya Pradesh; profile-listed technical strengths include Milvus, Embeddings, Fine-tuning LLMs."
CAND_0006538,56,0.733924,"AI Specialist with 5.7 years of experience in Kolkata, West Bengal; profile-listed technical strengths include Recommendation Systems, MLOps, Statistical Modeling."
CAND_0040178,57,0.732395,"ML Engineer with 5.0 years of experience in Pune, Maharashtra; profile-listed technical strengths include OpenSearch, Vector Search, Python."
CAND_0070525,58,0.731421,"Senior Software Engineer (ML) with 5.4 years of experience in Hyderabad, Telangana; profile-listed technical strengths include Statistical Modeling, Recommendation Systems, Python."
CAND_0066713,59,0.726005,"Senior Software Engineer (ML) with 5.7 years of experience in Ahmedabad, Gujarat; profile-listed technical strengths include MLflow, Python, LlamaIndex."
CAND_0049978,60,0.724718,"Senior Software Engineer (ML) with 6.6 years of experience in Trivandrum, Kerala; profile-listed technical strengths include Embeddings, MLflow, Recommendation Systems."
CAND_0035315,61,0.724495,"Data Scientist with 4.9 years of experience in New York; profile-listed technical strengths include NLP, Weaviate, Recommendation Systems."
CAND_0033911,62,0.724362,"Data Scientist with 6.9 years of experience in Delhi, Delhi; profile-listed technical strengths include MLflow, Hugging Face Transformers, MLOps."
CAND_0029135,63,0.722725,"AI Specialist with 5.8 years of experience in Ahmedabad, Gujarat; profile-listed technical strengths include MLflow, Diffusion Models, Fine-tuning LLMs."
CAND_0080344,64,0.721501,"Senior Software Engineer (ML) with 4.9 years of experience in Hyderabad, Telangana; profile-listed technical strengths include Sentence Transformers, LLMs, Kubeflow."
CAND_0033350,65,0.719689,"Data Scientist with 6.2 years of experience in Coimbatore, Tamil Nadu; profile-listed technical strengths include Kubeflow, OpenSearch, QLoRA."
CAND_0001930,66,0.719071,"Senior Software Engineer (ML) with 6.9 years of experience in Kolkata, West Bengal; profile-listed technical strengths include Milvus, BentoML, Statistical Modeling."
CAND_0010603,67,0.718203,"ML Engineer with 5.3 years of experience in Bangalore, Karnataka; profile-listed technical strengths include OpenSearch, pgvector, Statistical Modeling."
CAND_0055139,68,0.717521,"ML Engineer with 6.9 years of experience in Chennai, Tamil Nadu; profile-listed technical strengths include pgvector, LLMs, Statistical Modeling."
CAND_0078669,69,0.717378,"ML Engineer with 6.3 years of experience in Kochi, Kerala; profile-listed technical strengths include pgvector, Recommendation Systems, LLMs."
CAND_0082913,70,0.716162,"Senior Software Engineer (ML) with 5.5 years of experience in Trivandrum, Kerala; profile-listed technical strengths include LLMs, BentoML, Elasticsearch."
CAND_0071939,71,0.712343,"Data Scientist with 6.4 years of experience in Pune, Maharashtra; profile-listed technical strengths include QLoRA, Embeddings, NLP."
CAND_0076587,72,0.712264,"AI Specialist with 4.9 years of experience in Chandigarh, Chandigarh; profile-listed technical strengths include Embeddings, OpenSearch, Weaviate."
CAND_0082973,73,0.712154,"AI Specialist with 6.4 years of experience in Chandigarh, Chandigarh; profile-listed technical strengths include Hugging Face Transformers, OpenSearch, Elasticsearch."
CAND_0074123,74,0.71187,"Data Scientist with 6.9 years of experience in Bhubaneswar, Odisha; profile-listed technical strengths include Hugging Face Transformers, NLP, Semantic Search."
CAND_0085851,75,0.711345,"ML Engineer with 7.0 years of experience in Hyderabad, Telangana; profile-listed technical strengths include Kubeflow, BentoML, MLflow."
CAND_0066035,76,0.710474,"Data Scientist with 6.7 years of experience in Kolkata, West Bengal; profile-listed technical strengths include Diffusion Models, Sentence Transformers, BentoML."
CAND_0073917,77,0.709656,"Data Scientist with 5.8 years of experience in Bhubaneswar, Odisha; profile-listed technical strengths include Python, BentoML, MLOps."
CAND_0014683,78,0.709296,"Senior Software Engineer (ML) with 5.6 years of experience in Jaipur, Rajasthan; profile-listed technical strengths include BentoML, FAISS, pgvector."
CAND_0091580,79,0.708169,"Data Scientist with 5.5 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include QLoRA, FAISS, MLflow."
CAND_0067041,80,0.706993,"Data Scientist with 6.9 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include Elasticsearch, Milvus, QLoRA."
CAND_0009516,81,0.706639,"AI Specialist with 6.9 years of experience in New York; profile-listed technical strengths include BentoML, LangChain, MLflow."
CAND_0060835,82,0.705902,"Senior Software Engineer (ML) with 6.6 years of experience in Bangalore, Karnataka; profile-listed technical strengths include FAISS, Embeddings, Sentence Transformers."
CAND_0073883,83,0.705706,"AI Specialist with 5.3 years of experience in Chandigarh, Chandigarh; profile-listed technical strengths include Statistical Modeling, Python, OpenSearch."
CAND_0053605,84,0.702383,"Senior Software Engineer (ML) with 6.9 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include pgvector, Semantic Search, LangChain."
CAND_0096104,85,0.701329,"AI Specialist with 7.0 years of experience in Delhi, Delhi; profile-listed technical strengths include Pinecone, Hugging Face Transformers, MLOps."
CAND_0051486,86,0.700741,"AI Specialist with 5.9 years of experience in Bhubaneswar, Odisha; profile-listed technical strengths include LLMs, Fine-tuning LLMs, Qdrant."
CAND_0099269,87,0.700608,"Data Scientist with 5.5 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include NLP, LLMs, Elasticsearch."
CAND_0059795,88,0.700153,"Senior Software Engineer (ML) with 5.6 years of experience in Mumbai, Maharashtra; profile-listed technical strengths include Python, Hugging Face Transformers, LLMs."
CAND_0008517,89,0.698704,"AI Research Engineer with 5.6 years of experience in Noida, Uttar Pradesh; profile-listed technical strengths include LoRA, Recommendation Systems, MLOps."
CAND_0035764,90,0.698502,"Senior Software Engineer (ML) with 6.8 years of experience in Kochi, Kerala; profile-listed technical strengths include Recommendation Systems, MLOps, Sentence Transformers."
CAND_0061479,91,0.697418,"ML Engineer with 5.0 years of experience in Ahmedabad, Gujarat; profile-listed technical strengths include OpenSearch, LlamaIndex, LLMs."
CAND_0003791,92,0.69637,"ML Engineer with 6.6 years of experience in San Francisco; profile-listed technical strengths include LLMs, Hugging Face Transformers, Python."
CAND_0024878,93,0.695178,"AI Specialist with 5.7 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include MLOps, pgvector, Information Retrieval."
CAND_0008202,94,0.694674,"Senior Software Engineer (ML) with 5.7 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include FAISS, LLMs, Python."
CAND_0045862,95,0.694194,"AI Specialist with 6.7 years of experience in Jaipur, Rajasthan; profile-listed technical strengths include Recommendation Systems, LoRA, LlamaIndex."
CAND_0014063,96,0.690901,"AI Specialist with 5.4 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include FAISS, Diffusion Models, QLoRA."
CAND_0017178,97,0.690665,"ML Engineer with 4.2 years of experience in Hyderabad, Telangana; profile-listed technical strengths include QLoRA, LlamaIndex, MLOps."
CAND_0072688,98,0.690128,"Data Scientist with 6.9 years of experience in Pune, Maharashtra; profile-listed technical strengths include Recommendation Systems, Qdrant, Semantic Search."
CAND_0026610,99,0.689197,"Computer Vision Engineer with 6.4 years of experience in Pune, Maharashtra; profile-listed technical strengths include LangChain, Weaviate, Fine-tuning LLMs."
CAND_0000666,100,0.689126,"Data Scientist with 6.5 years of experience in Vizag, Andhra Pradesh; profile-listed technical strengths include Sentence Transformers, MLflow, Weaviate."
